true\pred,Arive-Dantu,Basale,Betel,Crape_Jasmine,Curry,Drumstick,Fenugreek,Guava,Hibiscus,Indian_Beech,Indian_Mustard,Jackfruit,Jamaica_Cherry-Gasagase,Jamun,Jasmine,Karanda,Lemon,Mango,Mexican_Mint,Mint,Neem,Oleander,Parijata,Peepal,Pomegranate,Rasna,Rose_apple,Roxburgh_fig,Sandalwood,Tulsi
Arive-Dantu,97,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Basale,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Betel,0,4,90,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crape_Jasmine,0,0,0,92,0,0,0,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Curry,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
Drumstick,0,0,0,0,0,96,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fenugreek,0,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Guava,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Hibiscus,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Indian_Beech,0,0,0,1,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indian_Mustard,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackfruit,0,0,0,0,0,0,0,0,0,0,0,98,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica_Cherry-Gasagase,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamun,0,0,0,0,0,0,0,0,0,0,0,1,0,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jasmine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Karanda,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
Mexican_Mint,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,28,0,59,4,0,0,0,0,0,0,0,0,0,0
Mint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
Neem,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,98,0,1,0,0,0,0,0,0,0
Oleander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,89,0,0,0,0,0,0,0,0
Parijata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0
Peepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
Pomegranate,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,97,0,0,0,0,0
Rasna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,79,13,0,0,0
Rose_apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
Roxburgh_fig,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0
Sandalwood,0,0,0,0,0,0,0,0,4,0,0,7,0,1,0,0,8,0,0,1,0,0,0,0,0,0,0,0,79,0
Tulsi,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,7,0,0,4,0,0,0,0,0,0,0,0,0,86
