path,true,pred
C:/MedicinalPlantApp\data\val\Arive-Dantu\__100_1138909.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__100_5048022.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__101_5762424.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__102_4927806.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__102_994488.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__103_1047738.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__104_8001867.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__107_1084783.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__107_2113231.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__110_3735023.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__111_2131281.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__112_4335387.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__112_8764290.png,Arive-Dantu,Neem
C:/MedicinalPlantApp\data\val\Arive-Dantu\__114_5799509.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__115_4048725.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__115_6615724.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__11_7442650.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__120_711770.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__121_5594509.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__12_1955346.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__14_5502005.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__16_40518.png,Arive-Dantu,Indian_Beech
C:/MedicinalPlantApp\data\val\Arive-Dantu\__18_746261.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__19_6251884.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__1_3707659.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__1_842349.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__20_868159.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__20_9807127.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__21_4794163.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__21_5213072.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__22_2503880.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__23_585592.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__24_4004307.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__25_1465144.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__26_14410.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__27_895991.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__29_2376335.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__2_1691528.png,Arive-Dantu,Basale
C:/MedicinalPlantApp\data\val\Arive-Dantu\__31_7606619.png,Arive-Dantu,Basale
